Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2015-01-02,26.29613494873047,26.606494381733423,26.213205104874046,26.447588609294954,26480000
2015-01-05,25.795087814331055,26.218666661573288,25.71017466053814,26.17695453810655,41182000
2015-01-06,25.15848159790039,25.881989988136958,25.10435433612934,25.84673358035076,54456000
2015-01-07,25.084491729736328,25.3993197931758,25.0100065987638,25.372506206824585,46918000
2015-01-08,25.171886444091797,25.201183432063985,24.581457232850923,24.90373546624575,73054000
2015-01-09,24.864505767822266,25.25580791623763,24.76171626073284,25.23495185459241,42000000
2015-01-12,24.682764053344727,24.842660548141236,24.377369514846936,24.791016689147785,57138000
2015-01-13,24.918136596679688,25.255807788132557,24.692692232284372,24.95637270950198,60958000
2015-01-14,25.12322235107422,25.238925193681148,24.737385194944682,24.849610132852423,52800000
2015-01-15,25.02787971496582,25.31291255255308,24.9285643255735,25.270207825427626,51068000
2015-01-16,25.348173141479492,25.367538403404968,24.982195642774236,24.98517535098208,49658000
2015-01-20,25.32234764099121,25.603906358893123,25.29404325737694,25.46287884880755,46796000
2015-01-21,25.841272354125977,25.913772273257056,25.304970336915034,25.3670422244098,46356000
2015-01-22,26.680978775024414,26.75745100381848,25.91675089510246,25.970876260307634,56068000
2015-01-23,26.91188621520996,27.08370152568472,26.604010197082996,26.717229633167822,45966000
2015-01-26,26.652179718017578,26.889542938611243,26.421272216316083,26.889542938611243,30932000
2015-01-27,25.880996704101562,26.456527426992785,25.86460925644672,26.387999822512203,39148000
2015-01-28,25.44599723815918,26.104455910632613,25.44202492538807,26.070192108341782,35822000
2015-01-29,25.4857234954834,25.58305178585184,25.00156166084813,25.469336048228097,79018000
2015-01-30,26.69339370727539,26.96899302565216,25.731527649882253,25.772247169765592,121108000
2015-02-02,26.42772674560547,26.641254184633254,25.90731588754948,26.532999663904736,75378000
2015-02-03,26.482349395751953,26.68842661017287,26.16007114479037,26.315499005331883,47062000
2015-02-04,26.12481689453125,26.65366870583925,26.07168223623476,26.4744050604478,33896000
2015-02-05,26.31003761291504,26.352742341254977,26.10197140212147,26.215687137881527,33176000
2015-02-06,26.511150360107422,26.825978397110262,26.251442186766266,26.368633934834655,42938000
2015-02-09,26.28272819519043,26.511152291822977,26.196820534215004,26.371117367838757,30314000
2015-02-10,26.822998046875,26.864710170346463,26.27726253717318,26.425242072752976,47430000
2015-02-11,26.715736389160156,26.91188375445496,26.61642100373092,26.801644036542356,38306000
